nct_id,enrollment_count,scale_tier
NCT05970133,300,Medium
NCT04980352,200,Medium
NCT04789252,64,Medium
NCT06894849,60,Medium
NCT00085358,40,Small
NCT03253848,202,Medium
NCT04590248,109,Medium
NCT00455338,16,Small
NCT05248048,9,Small
NCT06405048,1200,Large
NCT06700655,60,Medium
NCT06961955,144,Medium
NCT06508658,379,Large
NCT07257055,30,Small
NCT00749255,200,Medium
NCT03346655,3000,Large
NCT01578655,630,Large
NCT00888355,428,Large
NCT04252248,3,Small
NCT00917748,84,Medium
NCT06507748,70,Medium
NCT04365855,800,Large
NCT01494155,50,Medium
NCT01084655,38,Small
NCT05872555,22777,Large
NCT04728555,22,Small
NCT02948855,0,Small
NCT04840355,100,Medium
NCT02092948,8,Small
NCT07630948,90,Medium
NCT01721148,39,Small
NCT05419648,68,Medium
NCT05725655,30,Small
NCT03544255,50,Medium
NCT02671955,12,Small
NCT06604455,300,Medium
NCT03113955,109,Medium
NCT06824155,30,Small
NCT03164655,20,Small
NCT05837455,81,Medium
NCT07436455,50,Medium
NCT05713838,32,Small
NCT04084158,100,Medium
NCT07096258,1000,Large
NCT07590648,136,Medium
NCT03699748,160,Medium
NCT06254248,50,Medium
NCT05797948,20,Small
NCT04283448,38,Small
NCT01709448,165,Medium
