nct_id,title,recruitment_status,sponsor_id,start_date,completion_date
NCT02942290,A Phase 1b Dose Escalation Study Evaluating the Safety and Pharmacokinetics of Venetoclax in Combination With Azacitidine in Subjects With Treatment-Naïve Higher-Risk Myelodysplastic Syndromes (MDS),ACTIVE_NOT_RECRUITING,1,2017-01-12,2027-01
NCT06413797,Strengthening Little Cigar and Cigarillo Warnings to Prevent Adolescent Use,COMPLETED,2,2024-07-18,2024-11-25
NCT02479997,"Clinical Application of Dual Sentinel Lymph Node Staining Method in Breast Cancer Patients Who Receive Neoadjuvant Therapy(Chemotherapy, Hormonal Therapy, Targeted Therapy); Clinical Study for 130 Patients",COMPLETED,3,2015-03-31,2018-03-08
NCT04112810,A Phase II Trial of Tildrakizumab for Prevention of Acute Graft-Versus-Host Disease,COMPLETED,4,2020-03-01,2024-06-01
NCT02176213,"A Phase II Study of Pomalidomide, Daily Low Dose Oral Cyclophosphamide, and Dexamethasone in Relapsed/Refractory Multiple Myeloma",COMPLETED,5,2014-06,2019-05-07
NCT00607113,Exploratory Study of Avastin (Bevacizumab) and RAD001 (Everolimus) in Advanced Low or Intermediate Grade Neuroendocrine Carcinoma (AVF3961s) (CRAD001C2481),COMPLETED,6,2008-01,2011-10
NCT06864013,Short-course Neoadjuvant Radiotherapy Combined With Chemotherapy and Iparomlimab and Tuvonralimab in Microsatellite Stability (MSS) or Mismatch-repair-proficient (pMMR) Patients With Locally Advanced Rectal Cancer: A Randomized Controlled Clinical Study,RECRUITING,7,2025-01-06,2029-12-31
NCT01893320,A Phase I/II Study of Vosaroxin and Decitabine in Older Patients With Acute Myeloid Leukemia and High-risk Myelodysplastic Syndrome,COMPLETED,6,2013-07-18,2021-01-11
NCT00442520,"Pharmacogenomic Study in Patients of Lung, Colorectal and Head/Neck Cancers Receiving Chemotherapy",COMPLETED,8,2006-02,2008-09
NCT05286320,Phase Ib/II Trial of Combining Pembrolizumab and Lenvatinib With Stereotactic Body Radiotherapy for Hepatocellular Carcinoma Patients With Portal Vein Thrombosis.,NOT_YET_RECRUITING,9,2023-03-01,2026-09-30
NCT06497582,"Self-acupressure and Zhan Zhuang for Pain, Fatigue, and Sleep Disturbance in Breast Cancer Survivors: A Pilot Randomized Controlled Trial",COMPLETED,10,2024-05-15,2024-09-20
NCT00509782,Phase I Trial of ZIO-101 in Patients With Solid Tumors,COMPLETED,6,2005-05,2008-04
NCT05675982,Real-Time Monitoring of Circulating Tumor DNA and Study of Prognostic Factors in Patients Treated With Anti-CD19 CAR-T Cells for Relapsed or Refractory Diffuse Large B-cell Lymphoma,ACTIVE_NOT_RECRUITING,11,2023-01-13,2025-09-08
NCT02089724,Long-term Outcome After Vemurafenib / BRAF Inhibitors Interruption in Erdheim-chester Disease,UNKNOWN,12,2014-03,2016-12
NCT04889924,Axillary Lymph Node Dissection Versus Axillary Radiotherapy in Breast Cancer Patients With Positive Sentinel Node After Neoadjuvant Therapy: A Multicenter Randomized Study,RECRUITING,13,2021-06-11,2026-06-30
NCT04484623,"A Phase III, Multicenter, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of Belantamab Mafodotin in Combination With Pomalidomide and Dexamethasone (B-Pd) Versus Pomalidomide Plus Bortezomib and Dexamethasone (PVd) in Participants With Relapsed/Refractory Multiple Myeloma (DREAMM 8)",ACTIVE_NOT_RECRUITING,14,2020-10-01,2024-01-29
NCT02600923,"STUDY OF PALBOCICLIB IN COMBINATION WITH LETROZOLE AS TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR POSITIVE, HER2-NEGATIVE ADVANCED BREAST CANCER FOR WHOM LETROZOLE THERAPY IS DEEMED APPROPRIATE",COMPLETED,15,2016-04-15,2019-05-28
NCT04896580,The Benefits of Nature-based Walking for Breast Cancer Survivors: a Pilot Study,COMPLETED,16,2021-06-21,2023-05-18
NCT01923480,Determination of the Optimal Infusion Rate of Amino Acids in Seriously Ill Patients,TERMINATED,17,2013-07,2014-12
NCT00130780,Multimodality Treatment for Patients With Resectable Non-Small Cell Lung Cancer (NSCLC) (BEACON Study: Bevacizumab and Chemotherapy for Operable NSCLC),COMPLETED,18,2005-08,2012-10
NCT01502280,Barrow 5-ALA Intraoperative Confocal Evaluation Trial,COMPLETED,19,2010-11,2018-01
NCT00987480,"A Multicenter Phase II Trial of Hematopoietic Stem Cell Transplantation for the Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using a Chemotherapy Only Cytoreduction With Busulfan, Cyclophosphamide and Fludarabine",COMPLETED,18,2009-09-25,2017-07-10
NCT04939480,Window of Opportunity Study of Preoperative Immunotherapy With Atezolizumab (Tecentriq®) in Local Head and Neck Squamous Cell Carcinoma (the PIONEER Trial),COMPLETED,20,2021-10-06,2024-03-14
NCT04870879,Colorectal Metastasis and Liver Transplantation With Organs From Deceased Donors: an Inductive Padova Center Protocol,UNKNOWN,21,2020-10-01,2025-10
NCT04908696,"Department of Otorhinolaryngology, Eye & ENT Hospital",RECRUITING,22,2025-12-01,2026-06-23
NCT01962896,A Phase II Study of Sirolimus and Erlotinib in Recurrent/Refractory Germ Cell Tumors,TERMINATED,23,2014-01-08,2017-06-13
NCT04068896,"A Phase 1/2 Dose-Finding Study Followed by Expansion Cohorts of NGM120, a GFRAL Antagonist Monoclonal Antibody Blocking GDF15 Signaling, in Subjects With Advanced Solid Tumors and Pancreatic Cancer Using Combination Therapy",COMPLETED,24,2019-10-16,2023-09-21
