facility_name,city,state,country
National Taiwan University Hospital,Taipei,,Taiwan
Wuhan Union Hospital,Wuhan,Hubei,China
ASST Monza-C. CHIRURGIA GENERALE E D'URGENZA I,Monza,,Italy
"ASST Monza-Ospedale San Gerardo, S.C. Chirurgia Toracica",Monza,,Italy
Medical University of South Carolina,Charleston,South Carolina,United States
University of California Medical Center At Irvine-Orange Campus,Orange,California,United States
Colorado Gynecologic Oncology Group,Aurora,Colorado,United States
University of Chicago Comprehensive Cancer Center,Chicago,Illinois,United States
University of Iowa Hospitals and Clinics,Iowa City,Iowa,United States
Greater Baltimore Medical Center,Baltimore,Maryland,United States
Johns Hopkins University,Baltimore,Maryland,United States
Washington University School of Medicine,St Louis,Missouri,United States
Cooper Hospital University Medical Center,Camden,New Jersey,United States
Case Western Reserve University,Cleveland,Ohio,United States
Cleveland Clinic Cancer Center/Fairview Hospital,Cleveland,Ohio,United States
Lake University Ireland Cancer Center,Mentor,Ohio,United States
University of Oklahoma Health Sciences Center,Oklahoma City,Oklahoma,United States
Cancer Care Associates-Midtown,Tulsa,Oklahoma,United States
Cancer Care Associates-Yale,Tulsa,Oklahoma,United States
Gynecologic Oncology Group,Philadelphia,Pennsylvania,United States
Women and Infants Hospital,Providence,Rhode Island,United States
Fairbanks Memorial Hospital,Fairbanks,Alaska,United States
Kaiser Permanente-Anaheim,Anaheim,California,United States
Kaiser Permanente-Deer Valley Medical Center,Antioch,California,United States
Kaiser Permanente-Baldwin Park,Baldwin Park,California,United States
Kaiser Permanente-Bellflower,Bellflower,California,United States
Kaiser Permanente-Fontana,Fontana,California,United States
Kaiser Permanente-Fremont,Fremont,California,United States
Fresno Cancer Center,Fresno,California,United States
Kaiser Permanente-Fresno,Fresno,California,United States
Kaiser Permanente - Harbor City,Harbor City,California,United States
Kaiser Permanente-Irvine,Irvine,California,United States
Kaiser Permanente Los Angeles Medical Center,Los Angeles,California,United States
Kaiser Permanente-Cadillac,Los Angeles,California,United States
Kaiser Permanente-Modesto,Modesto,California,United States
Kaiser Permanente Oakland-Broadway,Oakland,California,United States
Kaiser Permanente-Oakland,Oakland,California,United States
Kaiser Permanente-Ontario,Ontario,California,United States
Kaiser Permanente - Panorama City,Panorama City,California,United States
Kaiser Permanente-Rancho Cordova Cancer Center,Rancho Cordova,California,United States
Kaiser Permanente-Redwood City,Redwood City,California,United States
Kaiser Permanente-Richmond,Richmond,California,United States
Kaiser Permanente-Riverside,Riverside,California,United States
Rohnert Park Cancer Center,Rohnert Park,California,United States
Kaiser Permanente-Roseville,Roseville,California,United States
The Permanente Medical Group-Roseville Radiation Oncology,Roseville,California,United States
Kaiser Permanente Downtown Commons,Sacramento,California,United States
Kaiser Permanente-South Sacramento,Sacramento,California,United States
South Sacramento Cancer Center,Sacramento,California,United States
Kaiser Permanente - Sacramento,Sacramento,California,United States
Kaiser Permanente-San Diego Mission,San Diego,California,United States
Kaiser Permanente-San Diego Zion,San Diego,California,United States
Kaiser Permanente-San Francisco,San Francisco,California,United States
Kaiser Permanente-Santa Teresa-San Jose,San Jose,California,United States
Kaiser Permanente San Leandro,San Leandro,California,United States
Kaiser Permanente-San Marcos,San Marcos,California,United States
Kaiser San Rafael-Gallinas,San Rafael,California,United States
Kaiser Permanente Medical Center - Santa Clara,Santa Clara,California,United States
Kaiser Permanente-Santa Rosa,Santa Rosa,California,United States
Kaiser Permanente Cancer Treatment Center,South San Francisco,California,United States
Kaiser Permanente-South San Francisco,South San Francisco,California,United States
Kaiser Permanente-Stockton,Stockton,California,United States
Kaiser Permanente Medical Center-Vacaville,Vacaville,California,United States
Kaiser Permanente-Vallejo,Vallejo,California,United States
Kaiser Permanente-Walnut Creek,Walnut Creek,California,United States
Kaiser Permanente-Woodland Hills,Woodland Hills,California,United States
Rocky Mountain Cancer Centers-Aurora,Aurora,Colorado,United States
The Medical Center of Aurora,Aurora,Colorado,United States
Boulder Community Hospital,Boulder,Colorado,United States
Rocky Mountain Cancer Centers-Boulder,Boulder,Colorado,United States
Rocky Mountain Cancer Centers - Centennial,Centennial,Colorado,United States
Cancer Center of Colorado at Sloan's Lake,Denver,Colorado,United States
Denver Health Medical Center,Denver,Colorado,United States
National Jewish Health-Main Campus,Denver,Colorado,United States
The Women's Imaging Center,Denver,Colorado,United States
Colorado Blood Cancer Institute,Denver,Colorado,United States
Presbyterian - Saint Lukes Medical Center - Health One,Denver,Colorado,United States
Rocky Mountain Cancer Centers-Midtown,Denver,Colorado,United States
SCL Health Saint Joseph Hospital,Denver,Colorado,United States
Rocky Mountain Cancer Centers-Rose,Denver,Colorado,United States
Rose Medical Center,Denver,Colorado,United States
Mountain Blue Cancer Care Center - Swedish,Englewood,Colorado,United States
Swedish Medical Center,Englewood,Colorado,United States
National Jewish Health-Western Hematology Oncology,Golden,Colorado,United States
Saint Mary's Hospital and Regional Medical Center,Grand Junction,Colorado,United States
North Colorado Medical Center,Greeley,Colorado,United States
Rocky Mountain Cancer Centers-Greenwood Village,Greenwood Village,Colorado,United States
Good Samaritan Medical Center,Lafayette,Colorado,United States
Rocky Mountain Cancer Centers-Littleton,Littleton,Colorado,United States
Rocky Mountain Cancer Centers-Sky Ridge,Lone Tree,Colorado,United States
Sky Ridge Medical Center,Lone Tree,Colorado,United States
McKee Medical Center,Loveland,Colorado,United States
National Jewish Health-Northern Hematology Oncology,Thornton,Colorado,United States
SCL Health Lutheran Medical Center,Wheat Ridge,Colorado,United States
Mayo Clinic in Florida,Jacksonville,Florida,United States
Phoebe Putney Memorial Hospital,Albany,Georgia,United States
University Cancer and Blood Center LLC,Athens,Georgia,United States
Augusta University Medical Center,Augusta,Georgia,United States
Dekalb Medical Center,Decatur,Georgia,United States
Lewis Cancer and Research Pavilion at Saint Joseph's/Candler,Savannah,Georgia,United States
Low Country Cancer Care Associates PC,Savannah,Georgia,United States
Summit Cancer Care-Candler,Savannah,Georgia,United States
Kaiser Permanente Moanalua Medical Center,Honolulu,Hawaii,United States
Illinois CancerCare-Bloomington,Bloomington,Illinois,United States
Illinois CancerCare-Canton,Canton,Illinois,United States
Memorial Hospital of Carbondale,Carbondale,Illinois,United States
SIH Cancer Institute,Carterville,Illinois,United States
Illinois CancerCare-Carthage,Carthage,Illinois,United States
Centralia Oncology Clinic,Centralia,Illinois,United States
Northwestern University,Chicago,Illinois,United States
John H Stroger Jr Hospital of Cook County,Chicago,Illinois,United States
Cancer Care Specialists of Illinois - Decatur,Decatur,Illinois,United States
Decatur Memorial Hospital,Decatur,Illinois,United States
Illinois CancerCare-Dixon,Dixon,Illinois,United States
Crossroads Cancer Center,Effingham,Illinois,United States
Illinois CancerCare-Eureka,Eureka,Illinois,United States
Illinois CancerCare-Galesburg,Galesburg,Illinois,United States
Western Illinois Cancer Treatment Center,Galesburg,Illinois,United States
Illinois CancerCare-Kewanee Clinic,Kewanee,Illinois,United States
Illinois CancerCare-Macomb,Macomb,Illinois,United States
Cancer Care Center of O'Fallon,O'Fallon,Illinois,United States
Illinois CancerCare-Ottawa Clinic,Ottawa,Illinois,United States
Illinois CancerCare-Pekin,Pekin,Illinois,United States
OSF Saint Francis Radiation Oncology at Pekin Cancer Treatment Center,Pekin,Illinois,United States
Illinois CancerCare-Peoria,Peoria,Illinois,United States
OSF Saint Francis Radiation Oncology at Peoria Cancer Center,Peoria,Illinois,United States
Methodist Medical Center of Illinois,Peoria,Illinois,United States
OSF Saint Francis Medical Center,Peoria,Illinois,United States
Illinois CancerCare-Peru,Peru,Illinois,United States
Valley Radiation Oncology,Peru,Illinois,United States
