nct_id,title,recruitment_status,sponsor_id,start_date,completion_date
NCT05970133,Functional Recovery and Oncologic Efficacy of Robotic Versus Laparoscopy NOSE for Patients With Stage I III Left Sided Colon Cancer: A Randomized Controlled Trial,RECRUITING,1,2023-04-07,2025-04-06
NCT04980352,Multi-dimensional Signatures for Precisely Predicting the Response and Prognosis of Lung Cancer Patients,UNKNOWN,2,2021-01-01,2023-12-30
NCT04789252,Heterogeneity of Dendritic Cells and Other Cells of Myeloid and Lymphoid Origin in Colon and Non-small Cell Lung Cancer,UNKNOWN,3,2021-02-09,2026-02-09
NCT06894849,Evaluation of a Text Message-Based Approach to Depression Screening Among Cancer Survivors,ACTIVE_NOT_RECRUITING,4,2026-01-05,2026-05-29
NCT00085358,"A Phase I Trial of Intravenous Paclitaxel, Intraperitoneal Carboplatin and Intraperitoneal Paclitaxel or Intravenous Docetaxel, Intraperitoneal Carboplatin and Intraperitoneal Paclitaxel or Intravenous Paclitaxel, Intraperitoneal Carboplatin, Intraperitoneal Paclitaxel and CTEP-Supplied Agent Bevacizumab (NSC 704865, IND 7921) in Patients With Previously Untreated Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma",COMPLETED,5,2004-05,2011-05
NCT03253848,A Simplified Patient Care Strategy to Decrease Early Deaths in Acute Promyelocytic Leukemia (APL),ACTIVE_NOT_RECRUITING,6,2017-09-26,2023-04-27
NCT04590248,"A Phase 2b, Open-label, Single-arm, Multi-centre Study Assessing the Efficacy and Safety of Adavosertib as Treatment for Recurrent or Persistent Uterine Serous Carcinoma",COMPLETED,7,2020-11-30,2022-05-23
NCT00455338,The Effect of Meals of Varying Fat and Fiber Content on Postprandial Testosterone Concentration in Women With Polycystic Ovary Syndrome,COMPLETED,8,2005-05,
NCT05248048,"Hepatic Artery Transfusion of NKG2D CAR-T Cells to Treat Patients With Previously Treated Liver Metastatic Colorectal Cancer: a Prospective, Multicenter Clinical Trial",UNKNOWN,9,2021-09-13,2022-10
NCT06405048,Evaluating the Feasibility and Effectiveness of a Mock-up Fact-checking Extension to Improve Ability to Debunk HPV Vaccine Misinformation Among Parents of Middle School Girls: A Survey Experiment,UNKNOWN,10,2024-04-28,2024-05-31
NCT06700655,"A Clinical Study on Co-transplantation of Autologous Limbal Stem Cells and Corneal Stromal Stem Cells to Repair Corneal Injury: an Open-label, Randomized Clinical Trial",NOT_YET_RECRUITING,11,2024-12-01,2028-12-01
NCT06961955,FAST NOVEMBER: A Phase II Randomized Trial of a 5 vs. 9-day Course of Whole Breast Radiotherapy With Boost for Early-stage Breast Cancer,RECRUITING,12,2025-05-21,2030-05
NCT06508658,"A Phase 3, Multicenter, Randomized, Open-Label Study of Epcoritamab Plus Lenalidomide Compared to Rituximab Plus Gemcitabine and Oxaliplatin in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma",ACTIVE_NOT_RECRUITING,13,2024-08-13,2028-03
NCT07257055,Phase 2 Study of BTKi-Rituximab Induction Followed by Glofitamab Consolidation in High Risk Untreated MCL Patients - WINDOW-4 Study,RECRUITING,14,2026-04-01,2028-11-24
NCT00749255,R2 Case Collection,TERMINATED,15,2008-05,
NCT03346655,Brain Metastases in Norway - Improved Classification and Treatment. A Prospective Cohort Study,UNKNOWN,16,2018-01-01,2022-03-31
NCT01578655,A Randomized Phase 3 Study Comparing Cabazitaxel/Prednisone in Combination With Custirsen (OGX-011) to Cabazitaxel/Prednisone for Second-Line Chemotherapy in Men With Metastatic Castrate Resistant Prostate Cancer (AFFINITY),COMPLETED,17,2012-08,2016-07
NCT00888355,"A Double-Blind, Randomized, Parallel, Placebo-Controlled Study to Investigate the Antihypertensive Efficacy and Safety of Losartan Given Once or Twice Daily in Patients With Mild to Moderate Hypertension",COMPLETED,18,1992-05,1993-01
NCT04252248,Decitabine Treatment in HPV-Induced Anogenital and Head and Neck Cancer Patients After Radiotherapy or as Novel Late Salvage (DERANO),TERMINATED,19,2019-10-11,2021-06-15
NCT00917748,"A Prospective, Randomised, Double-Blind, Placebo-Controlled Phase III Study of Modafinil to Improve Fatigue and Quality of Life in Patients Treated With Docetaxel-Based Chemotherapy for Metastatic Breast or Prostate Cancer",COMPLETED,20,2009-06,2011-03
NCT06507748,A Study to Evaluate the Feasibility of a Physiologic Biomarker to Assess Pain and Other Sensory Problems Using Pupillometry in Participants With Neurofibromatosis Type 1 (NF1),RECRUITING,5,2026-02-18,2027-05-01
NCT04365855,The Olmsted NAFLD Epidemiology Study (TONES),RECRUITING,21,2020-10-10,2028-06
NCT01494155,Phase II Study of Neoadjuvant Accelerated Short Course Radiation Therapy With Proton or Photon RT Plus Capecitabine and Hydroxychloroquine for Resectable Pancreatic Cancer,UNKNOWN,22,2011-12,2022-01
NCT01084655,An Open-label Phase 1/2 Study of TAK-700 in Combination With Docetaxel and Prednisone in Men With Metastatic Castration-Resistant Prostate Cancer,COMPLETED,23,2010-07,2013-01
NCT05872555,Side Effects of Psychiatric Medications - a Nested Case Control Cohort Historical Prospective Study,UNKNOWN,24,2023-03-26,2024-06-01
NCT04728555,Evaluation of an Intervention by a Pedagogical Digital Game About Radiotherapy for Children With Cancer,COMPLETED,25,2021-03-01,2022-08-31
NCT02948855,Study on Regulation of LncRNA to Regulatory B Cells(Bregs) Through Notch Pathway in Patients With Thymoma and Autoimmune Diseases,WITHDRAWN,26,2016-10,2018-05
NCT04840355,Clinical Study on Multidimensional Prevention of Sintilimab Induced irAEs Based on GEP Pattern Recognition,RECRUITING,27,2021-02-26,2025-11-14
NCT02092948,"A Phase I Open Label Study to Evaluate the Tumor-targeting Properties and Safety of 124I-A11 PSCA Minibody in Patients With Metastatic Prostate, Bladder and Pancreatic Cancer.",COMPLETED,28,2013-08-22,2017-01-06
NCT07630948,"Adherence and Safety of Ribociclib Plus Aromatase Inhibitors in Patients With Early Stage, Hormonal Receptor Positive and Human Epidermal Growth Factor Receptor 2 Negative Breast Cancer",NOT_YET_RECRUITING,29,2026-09-01,2029-09-01
NCT01721148,A Phase I Multiple Ascending Dose Study of ASLAN002 (BMS 777607) in Subjects With Advanced or Metastatic Solid Tumours,COMPLETED,30,2012-10,2016-12
NCT05419648,Role of Monocytes Sub-populations in Thrombosis Associated With Myeloproliferative Neoplasms (MonSThr),COMPLETED,31,2022-10-05,2024-07-22
NCT05725655,Hot Water Immersion in Rehabilitation After Myocardial Infarction (HOT-MI) - a Randomized Controlled Study,RECRUITING,32,2023-10-26,2025-12-31
NCT03544255,Drug Screening of Pancreatic Cancer Organoids Developed From EUS-FNA Guided Biopsy Tissues,UNKNOWN,33,2018-05-01,2020-12-01
NCT02671955,"An Open-label, First-in-Human, Phase 1 Study of the Safety, Pharmacokinetics, and Pharmacodynamics of JNJ-61610588, a Fully Human IgG1 Kappa Anti-VISTA (V-domain Ig Suppressor of T-cell Activation) Monoclonal Antibody, in Subjects With Advanced Cancer",TERMINATED,34,2016-01,2017-01
NCT06604455,Impact of Acupuncture and Integrative Medicine on Patients&Amp;Amp;#39; Quality-of-life During National Emergency and Wartime in Integrative Oncology and Inpatient Settings,RECRUITING,35,2024-08-28,2025-12-31
NCT03113955,A Single-arm Trial of Transcatheter Arterial Chemoembolization With Tandem Microspheres in the Treatment of Localized Hepatocellular Carcinoma,COMPLETED,36,2017-10-24,2019-06-28
NCT06824155,"Phase 0/1 Study of the Safety and Tolerability of 177Lu-RAD202, a Lutetium-177 Radiolabeled Single Domain Antibody Against Human Epidermal Growth Factor Receptor 2 in Patients With Advanced Solid Tumours",RECRUITING,37,2025-02-12,2027-12
NCT03164655,A Randomized Phase II Study Comparing Treatment Intensification With CIAH Plus Systemic Chemotherapy to Systemic Chemotherapy Alone in Patients With Liver-only Colorectal Metastases Considered Still Non Resectable After at Least Two Months of Systemic Induction Chemotherapy,COMPLETED,38,2018-07-25,2021-07-15
NCT05837455,"NeoTAILOR: A Phase II Biomarker-directed Approach to Guide Neoadjuvant Therapy for Patients With Stage II/III ER-positive, HER2-negative Breast Cancer",RECRUITING,39,2024-05-30,2027-11-30
NCT07436455,F-18 Tetrafluoroborate PET/CT in Differentiated Thyroid Cancer,RECRUITING,40,2025-11-01,2026-08-01
NCT05713838,"Organ Preservation With Durvalumab-based Immunotherapy in Combination With Chemoradiation as Definitive Therapy for Early Stage, cT1 and cT2N0, Esophageal Adenocarcinoma With Indication for Radical Surgery: A Prospective, Multicenter Study of the FLOT-AIO Gastric Cancer Group",RECRUITING,41,2023-08-28,2025-12
NCT04084158,"A Phase II, Randomized, Open Label, Multi-center Design Study of Toripalimab Given Before and After Concurrent Chemoradiotherapy in Patients With Locally Advanced Esophageal Squamous Cell Carcinoma",SUSPENDED,42,2019-09-07,2021-12-30
NCT07096258,"A Patient Registry Collecting the Clinical and Molecular Profiling Data of Patients With Locally Advanced and/or Metastatic, Unresectable, Stages IIIB/C or IV Non-small Cell Lung Cancer (NSCLC), Who Have Not Previously Been Treated for This Advanced Disease and Are Therefore Considered as Patients Receiving First-line Therapy.",RECRUITING,43,2024-06-01,2027-12
NCT07590648,"Phase IV, Randomized, Open Label, Parallel Groups Clinical Trial for Evaluating the Early Stop of Antibiotic Treatment in High-risk Febrile Neutropenic Oncohaematological Paediatric Patients (e-STOP 2)",NOT_YET_RECRUITING,44,2026-06-01,2028-07-01
NCT03699748,"Lay Health Worker Engage, Educate, and Encourage Patients to Share",COMPLETED,45,2018-11-01,2021-12-31
NCT06254248,Safety of Atezolizumab-Bevacizumab in Liver Transplanted Patients With Advanced Hepatocellular Carcinoma,RECRUITING,46,2026-01-22,2030-01-01
NCT05797948,"Prospective, Single-center, Single-arm, Open-label Study of Obinutuzumab, Zanubrutinib and Lenalidomide Sequential CD19/CD22 CAR-T in Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma",UNKNOWN,47,2022-07-01,2024-06-30
NCT04283448,Gut Microbiota Dependent and Independent Impacts of Dietary Pulses on Pre- and Postprandial Metabolism and Inflammation in Overweight/Obese Humans,COMPLETED,48,2020-05-22,2023-11-19
NCT01709448,Predictive Modeling of Anal Dysplasia Progression in HIV,UNKNOWN,49,2009-01,2014-03
